Team_A_Streak (X1),Team_B_Streak (X2),Team_A_Last_Week_Diff (X3),Team_B_Last_Week_Diff (X4),Home_Away (X5),Spread_A (X6),Score_Differential (y)
-0.17,-0.2,0.1,0.03,-1,0,16
-0.33,0.07,0.4,0.48,1,0.04,6
-0.17,0.2,0.12,1,-1,-0.42,24
0,-0.2,0.62,-0.84,1,0.35,2
0.17,0.07,0.01,0.16,-1,0.04,7
0.33,-0.2,0.15,-0.9,1,0.58,3
0.5,-0.33,0.04,0,-1,-0.42,13
0.67,-0.2,0.32,-0.06,1,0.15,6
0.83,0.07,0.12,0.58,-1,-0.08,-4
-0.67,-0.73,-0.15,-0.35,1,0.54,4
-0.33,0.47,0.07,0.29,-1,-0.08,1
-0.17,-0.2,-0.01,-0.23,1,0.08,10
0,-0.2,0.23,-0.1,-1,0.08,-10
-0.67,0.07,-0.32,0.9,1,-0.19,34
-0.33,-0.87,0.89,-0.81,-1,0.12,13
-0.17,-0.2,0.12,0.03,1,0.35,31
-0.33,0.07,0.81,0.13,-1,-0.42,-1
-0.67,-0.2,-0.07,0.03,1,0.04,1
-0.33,-0.47,-0.01,-0.23,1,0.69,7
-0.17,-0.2,0.15,-0.45,-1,0.31,3
0,-0.2,0.04,-0.42,1,0.04,2
0.17,-0.2,0.01,-0.48,-1,-0.69,-30
-0.67,0.07,-0.86,0.13,-1,0.08,10
-0.33,-0.2,0.23,-0.23,1,0.38,35
-0.17,0.47,0.92,0.19,-1,0.04,3
0,-0.33,0.04,-0.13,-1,-0.12,3
0.17,-0.33,0.04,-0.1,1,0.38,-3
-0.67,0.33,-0.12,0.13,-1,-0.31,-3
-0.83,1,-0.12,0.52,1,-0.42,-17
-1,-0.2,-0.51,-1,1,-0.38,19
-0.17,0.07,0.1,0.03,1,-0.04,12
-0.33,0.07,0.29,0.61,-1,-0.42,-6
-0.67,0.2,-0.21,0.74,1,-0.31,-6
-0.83,0.07,-0.21,0.19,1,0.31,31
-0.33,0.07,0.81,0.87,-1,-0.65,-10
-0.67,-0.2,-0.32,-0.13,-1,-0.19,11
-0.33,0.2,0.26,0.32,1,0.31,20
-0.17,-0.47,0.51,-0.13,-1,0.23,8
0,0.07,0.18,0.35,-1,0.12,22
0.17,-0.2,0.56,-0.23,1,0.38,7
0.33,-1,0.15,-0.61,-1,0.62,8
0.5,-0.2,0.18,0.06,1,0.38,8
0.67,-0.73,0.18,0,-1,0.62,13
0.83,-0.33,0.32,0,-1,0.04,17
1,-0.2,0.42,-0.45,1,0.65,22
-0.17,-0.2,0.12,0.03,1,0.23,-8
-0.67,0.07,-0.26,0.74,1,0.23,13
-0.33,0.07,0.32,0.74,-1,0.08,-2
-0.67,-0.47,-0.1,0,1,0.38,1
-0.33,-0.2,-0.01,-0.06,-1,0.31,-3
-0.67,0.6,-0.12,0.29,-1,-0.5,18
-0.33,-0.2,0.45,0,-1,0.19,10
-0.17,-0.47,0.23,0,1,1.04,9
0,-0.6,0.21,-0.58,1,0.62,14
0.17,-0.2,0.34,-0.23,-1,0.04,4
0.33,-0.33,0.07,-0.48,-1,-0.38,-28
-0.67,-0.2,-0.81,-0.48,1,0.38,9
-0.33,-0.6,0.21,0.03,1,0.31,7
-0.17,-0.33,0.15,-0.13,-1,0.04,8
0,0.07,0.18,0.23,1,0.65,48
-0.17,-0.2,0.1,0.03,1,0.85,20
-0.33,-0.2,0.51,0,-1,0.35,20
-0.17,-0.2,0.51,-0.1,-1,-0.08,6
0,0.07,0.12,0.19,1,0.85,24
0.17,-0.2,0.62,-1,-1,0.58,6
0.33,-0.2,0.12,0,1,0.12,-18
-0.67,0.47,-0.53,0.16,1,0.31,30
-0.33,-0.2,0.78,0.06,1,0.69,12
-0.17,0.73,0.29,1.1,-1,-0.27,7
0,-0.87,0.15,-0.45,1,1,6
0.17,-0.33,0.12,-0.03,-1,0.12,3
0.33,-0.2,0.04,-0.06,-1,0.35,14
0.5,0.73,0.34,0.32,-1,-0.62,-28
-0.67,0.33,-0.81,0.23,1,0.62,12
-0.33,0.2,0.29,0.55,1,0.38,-17
-0.17,0.07,0.12,0.03,-1,-0.96,-20
-0.67,0.07,-0.59,0.19,1,-0.42,3
-0.33,-0.33,0.04,-0.55,1,0.04,-5
-0.67,0.07,-0.18,0.13,1,-0.69,3
-0.33,-0.33,0.04,-0.1,-1,-0.42,-26
-0.67,0.07,-0.75,0.42,1,-0.12,4
-0.33,0.2,0.07,0.13,-1,-0.42,6
-0.17,0.33,0.12,0.77,1,-0.35,3
0,-0.73,0.04,-0.45,-1,0.08,17
0.17,0.33,0.42,0.29,-1,-0.96,-35
-0.67,0.07,-1,0.26,1,0.04,7
-0.33,-0.47,0.15,0,-1,-0.73,2
-0.17,-0.33,0.01,-0.35,1,0.12,4
0,-0.2,0.07,-0.81,-1,-1,-12
-0.67,-0.33,-0.37,-0.39,-1,0.27,7
-0.17,-0.2,0.1,0.03,-1,0.31,21
-0.33,0.07,0.53,0.23,1,0.85,-2
-0.67,-0.2,-0.1,0.06,-1,-0.42,-1
-0.83,0.2,-0.07,0.42,-1,0.15,24
-0.33,0.07,0.62,1.1,1,0.27,10
-0.17,0.07,0.23,0.23,-1,0.12,-1
-0.67,0.07,-0.07,0.94,1,0.62,3
-0.33,-0.33,0.04,-0.23,-1,0.35,38
-0.17,-0.33,1,-0.29,1,0.85,6
