Height_inches,Age,Weight_lbs
65.7,64,246.6
70,36,238.3
70.8,85,208.5
68.7,42,252.1
72.8,83,243.2
66.2,81,174.4
62.5,41,221.4
66.9,28,171.2
72.9,38,236.9
69.4,40,233.8
71.8,44,215.7
70.1,32,200.7
63.2,36,195.9
69.7,45,216.8
69.5,38,237.1
66.5,27,166
69.2,67,241.2
70.3,31,239.2
68.5,85,222.9
67.5,42,198.9
67.9,71,190.9
68.3,27,180.7
67.2,25,173.2
72.6,29,239
68.3,38,212.3
72.1,58,224.3
63.1,29,193.3
74.7,33,234
66.2,69,220.4
71.1,44,203.7
72.5,30,232
66.6,29,196.1
70.7,74,165.2
66.4,28,207.7
65,31,195.3
69.5,32,223
69.5,67,228.5
75.4,27,224.5
71.1,39,177.6
74.2,21,220.9
67.5,28,170.4
73.1,86,231.1
68.8,44,181.4
64.9,70,182.8
68,66,210.7
70,34,201.6
67.6,44,191.6
71,43,264.3
69.5,38,226.5
65.3,33,140.5
71.8,39,211.7
77.9,29,260.4
68.1,51,190.9
73.9,35,246.7
68.3,26,205.9
71.8,52,243.3
71.1,30,251.3
64.9,58,155.4
68,37,232.8
67.8,33,216.8
66.3,24,130
71.8,64,207.6
70.5,28,201.7
67.7,28,200.5
67.5,21,212.4
74.6,38,267.4
73.7,54,254.3
65.9,69,197.2
69,54,236.3
75,28,247.9
70.1,25,210.6
73.4,35,256.7
68.6,21,220.2
63.5,28,175.8
68.7,59,237.9
69,39,178.5
69.9,36,200.2
69.2,24,202.7
73.4,70,238.4
66.1,49,215.7
65,35,148.3
71.6,54,252.1
70.7,71,222.5
68.2,33,229.5
67.2,49,169.4
66.4,21,187.1
74.2,36,233.1
70.2,23,231.1
74.1,47,242.2
69.5,30,218.3
69.5,66,232.1
67.2,66,226.2
74.4,73,240.9
72.5,31,209.6
66.3,26,190.5
71.5,24,212.2
65.9,29,193.2
67.9,51,199.3
72.5,73,235
64.3,58,203.9
